date,total_amount,is_holiday
1/1/2017,0,1
1/2/2017,0,0
1/3/2017,0,0
1/4/2017,0,0
1/5/2017,396.9,0
1/6/2017,916.38,0
1/7/2017,1750.9,0
1/8/2017,449.78,0
1/9/2017,712.29,0
1/10/2017,1434.87,0
1/11/2017,1855.27,0
1/12/2017,1825.04,0
1/13/2017,2450.68,0
1/14/2017,865.9,0
1/15/2017,2696.96,0
1/16/2017,3839.62,0
1/17/2017,3661.32,0
1/18/2017,2890.32,0
1/19/2017,4240.44,0
1/20/2017,5281.39,0
1/21/2017,3834.9,0
1/22/2017,3947.97,0
1/23/2017,7317.54,0
1/24/2017,6442.69,0
1/25/2017,7577.85,0
1/26/2017,15232.66,0
1/27/2017,12631.86,0
1/28/2017,5086.01,0
1/29/2017,7005.6,0
1/30/2017,17062.24,0
1/31/2017,11546.82,0
2/1/2017,7878.66,0
2/2/2017,9213.93,0
2/3/2017,9931.32,0
2/4/2017,14497.66,0
2/5/2017,9177.1,0
2/6/2017,9570.38,0
2/7/2017,16140.2,0
2/8/2017,12275.15,0
2/9/2017,9527.36,0
2/10/2017,13916.93,0
2/11/2017,4738.75,0
2/12/2017,15130.75,0
2/13/2017,11351.03,0
2/14/2017,13195.31,1
2/15/2017,6581.66,0
2/16/2017,6157.72,0
2/17/2017,8235.2,0
2/18/2017,8892.52,0
2/19/2017,3715.67,0
2/20/2017,7631.52,0
2/21/2017,7919.35,0
2/22/2017,6561.89,0
2/23/2017,8394.28,0
2/24/2017,7342.5,0
2/25/2017,4132.63,0
2/26/2017,5355.79,0
2/27/2017,6196.79,1
2/28/2017,12107.61,1
3/1/2017,13778.34,1
3/2/2017,10298.54,0
3/3/2017,13151.5,0
3/4/2017,9546.36,0
3/5/2017,7632.92,0
3/6/2017,9460.49,0
3/7/2017,13204.29,0
3/8/2017,14447.1,0
3/9/2017,11961.75,0
3/10/2017,13140.94,0
3/11/2017,11206.43,0
3/12/2017,6744.27,0
3/13/2017,16630,0
3/14/2017,15787.17,0
3/15/2017,15663.37,0
3/16/2017,17271.12,0
3/17/2017,12868.33,0
3/18/2017,16729.77,0
3/19/2017,6559.24,0
3/20/2017,17907.9,0
3/21/2017,12152.28,0
3/22/2017,15781.7,0
3/23/2017,19545.74,0
3/24/2017,10780.86,0
3/25/2017,11169.58,0
3/26/2017,6359.14,0
3/27/2017,16051.95,0
3/28/2017,12538.55,0
3/29/2017,8981.14,0
3/30/2017,11165.59,0
3/31/2017,12187.75,0
4/1/2017,17765.37,0
4/2/2017,12382.48,0
4/3/2017,10138.46,0
4/4/2017,13603.2,0
4/5/2017,18780.53,0
4/6/2017,19556.37,0
4/7/2017,13593.01,0
4/8/2017,9039.53,0
4/9/2017,8469.84,0
4/10/2017,11976.92,0
4/11/2017,7699.94,0
4/12/2017,8006.41,0
4/13/2017,9994.6,0
4/14/2017,7061.61,1
4/15/2017,8425.08,0
4/16/2017,5292.86,0
4/17/2017,7721.98,0
4/18/2017,22636.11,0
4/19/2017,13225.92,0
4/20/2017,13326.3,0
4/21/2017,7964.95,1
4/22/2017,14291.83,0
4/23/2017,10096.13,0
4/24/2017,13948,0
4/25/2017,14883.56,0
4/26/2017,16127.85,0
4/27/2017,10594.99,0
4/28/2017,16960.37,0
4/29/2017,13398.23,0
4/30/2017,8355.81,0
5/1/2017,12507.71,1
5/2/2017,18297.98,0
5/3/2017,10579.89,0
5/4/2017,15319.65,0
5/5/2017,14684.52,0
5/6/2017,15657.46,0
5/7/2017,16841,0
5/8/2017,18576.08,0
5/9/2017,26896.78,0
5/10/2017,24848.21,0
5/11/2017,18917.21,0
5/12/2017,12553,0
5/13/2017,8894.82,0
